"marker","region","true_marginal_effect","estimated_marginal_effect","p_value"
"m00672","region007",0.0209879147194649,0.0781500812605951,0.00522674798608481
"m00675","region007",0.0197082379102256,0.0591914274998144,0.0337432355993637
"m00719","region008",-0.0241642929032246,-0.0525101628486242,0.0600996809851115
"m00722","region008",0.0464211125665784,0.110122646125859,6.84375567749656e-05
"m00723","region008",0.044233154878933,0.016309845861415,0.56201825308815
"m00749","region008",-0.0398045919206065,-0.0453380552222414,0.106757984598502
"m00757","region008",0.0261975919671016,0.0321824689023529,0.247200230809369
"m00758","region008",0.0138101257434291,0.0156635040710461,0.577713892976839
"m00780","region008",0.0186029479968867,0.0405802754812718,0.146524473286068
"m00786","region008",-0.00952801185523366,-0.0267880828039713,0.337918318268238
"m00814","region009",0.00778116160532589,-0.0397657899147783,0.160625050091434
"m00840","region009",0.0099515841010414,0.0041946908908531,0.880630486092886
"m00846","region009",-0.022198155108153,-0.00963831436957392,0.734510174178212
"m00854","region009",-0.0538412178470326,-0.0207015243864855,0.446279473310191
"m00860","region009",-0.0158722122219472,0.0116767464518297,0.677382041895625
"m00876","region009",0.0424565863715637,0.0378748067545194,0.169978834275972
"m00883","region009",0.0289065162540004,0.048377331963385,0.086697150807428
"m00884","region009",0.0265854916745015,-0.0114207111790435,0.687459023259732
"m00889","region009",-0.0403006612469878,-0.00822981590820994,0.770873440817161
"m00899","region009",0.0265827719461714,0.0719958777926658,0.0102893435291229
"m00913","region010",0.00910809230993997,0.015325352934397,0.584550674121819
"m00917","region010",-0.0475738738556726,-0.0198410161597618,0.480570175202162
"m00920","region010",0.000181850351717136,0.00799001121569898,0.776558475464616
"m00923","region010",0.0187753238396906,0.0439011752427334,0.122646604724216
"m00925","region010",0.00389342878271812,-0.0316055919789607,0.253325491333925
"m00950","region010",0.012518439692376,0.0340787364176849,0.225940436046524
"m00953","region010",0.00996615688117972,0.0276471734859891,0.31506317203339
"m00978","region010",-0.0204585381255783,-0.0190232813322194,0.498498874016109
"m00980","region010",-0.0196853153781213,0.0605699218549933,0.0294484533979361
"m01006","region011",0.0124700197585693,0.0562878279487893,0.0425325166535164
"m01018","region011",-0.0126164784009384,-0.0439024716173161,0.10952903226983
"m01022","region011",0.000787051931373285,0.0286972592409585,0.312481000062701
"m01032","region011",0.0587458760416742,0.0395976955270712,0.156153964891492
"m01042","region011",-0.0365709586379937,-0.0119576217800755,0.664423424492221
"m01044","region011",0.0263796504230828,0.00135515165950847,0.961393795524788
"m01056","region011",-0.0189268137601458,-0.0019156072153657,0.944504431454698
"m01067","region011",-0.033720354789934,-0.067075273963711,0.0160492984960334
"m01073","region011",-0.0323012474917967,0.0424263056142586,0.131212320462907
"m01082","region011",0.00641970979158285,-0.0566576394803104,0.0446756957290095
"m01103","region012",0.00928563139290085,0.00893266068600757,0.749288063907636
"m01106","region012",0.0106146273967482,-0.0187366506403313,0.505488570071023
"m01143","region012",-0.0227123987713414,0.00119415480394239,0.966085571146158
"m01154","region012",-0.0248914314232032,0.0391786931300112,0.158058374486967
"m01155","region012",-0.0270228332794532,0.0189862026887951,0.491826546175839
"m01156","region012",-0.0302800070257895,-0.0421134447363123,0.128038237338515
"m01158","region012",-0.0417386502284194,-0.0252041657581707,0.363442228685798
"m01166","region012",0.0220881039305842,0.0113583355360365,0.682970818295162
"m01188","region012",-0.053925722969051,-0.0547450668437319,0.051967454301808
"m01200","region012",0.00703195296247308,0.00904867799756575,0.748697958561363
"m01201","region013",-0.00973645816823997,0.00547124366442879,0.846968101302205
"m01203","region013",-0.0339721286992944,-0.0259433643223281,0.359933499324101
"m01206","region013",-0.0029708531187289,0.0079999295956078,0.773966066231885
"m01209","region013",0.0158924834903341,0.0139080792349575,0.617703065210341
"m01214","region013",0.000137918205136559,0.0197224220828457,0.479382581587379
"m01238","region013",0.00611914904334454,0.0127284835104191,0.645309726048344
"m01269","region013",0.011869322356705,0.0258665250239131,0.358310784021101
"m01313","region014",-0.0385048321529024,-0.0810940578784525,0.00440153349766219
"m01318","region014",-0.0253785458490238,-0.0355480395805367,0.207046293706252
"m01326","region014",-0.0112162813033395,-0.0248453524904504,0.373973074378508
"m01330","region014",0.00552762748146112,0.0021941625198914,0.938251242093906
"m01340","region014",0.0120663585963161,0.0043425542198657,0.876003116841503
"m01365","region014",-0.024653445872422,-0.02757716475388,0.322582148776065
"m01431","region015",-0.00981613541758329,-0.0584126021617486,0.038367257157179
"m01432","region015",0.0107661239377642,0.0206488376409126,0.462017074375116
"m01451","region015",-0.00740917678179564,0.00658696743817342,0.815035508769516
"m01521","region016",-0.0341852841576574,-0.0728939357135911,0.00874213820678393
"m01536","region016",-0.0259673303697695,-0.016149244103036,0.57158444924018
"m01548","region016",0.00200204406955416,0.0272538202876596,0.330306322828747
"m01553","region016",-0.00219494767060088,-0.0148712419420862,0.593329563109231
"m01558","region016",-0.0393855220562052,-0.0489441168545364,0.0776611565403886
"m01565","region016",0.0283098870587563,0.0957780906619901,0.000603111898307291
"m01581","region016",-0.0478377621894588,-0.0384389746392169,0.178025740208767
"m01584","region016",-0.0136031451267484,0.0256813000034265,0.356292963424821
"m01607","region017",-0.00908939128385171,0.0459848570294334,0.0979109626883406
"m01611","region017",-0.0232004442966263,-0.0212401424704147,0.44278230776217
"m01616","region017",0.0521131122613901,0.0702169045679736,0.011612132360109
"m01629","region017",0.00600454454216124,0.00103726672084011,0.970434255701336
"m01630","region017",0.00651510166271166,0.0323031831105279,0.248822929956197
"m01650","region017",-0.00234610803404101,0.00962011728956903,0.731346886052123
"m01654","region017",0.00860729455772519,0.048277396968978,0.0809791815768266
"m01659","region017",-0.0296860587192522,0.00629681854033082,0.822388905502461
"m01680","region017",-0.00187292124634809,0.0565068680836628,0.0467582013439986
"m01698","region017",-0.0120940374709309,-0.0359243965545444,0.193737713863493
"m01713","region018",-0.000235672072476224,0.00235733118919868,0.933113696601413
"m01714","region018",0.00809209516793966,0.00671993998303485,0.814399215395756
"m01734","region018",0.00323049244589359,0.00892341722194444,0.746953829209644
"m01736","region018",-0.00731437438707411,-0.0260702315115972,0.346517015357615
"m01738","region018",0.00582811053341875,0.06689206542941,0.0170544176035737
"m01755","region018",-0.00284981610645494,0.0234539532137012,0.39884231647559
"m01758","region018",0.0474027704869082,0.063226069876673,0.0238408242259166
"m01767","region018",-0.0367380951396448,0.0103222940094186,0.713727753982431
"m01772","region018",-0.0235895107047515,0.0103046944396852,0.712876877418453
"m01828","region019",0.0302455829243981,0.0222743786688192,0.420594939365227
"m01829","region019",0.0151683747657685,0.0316868701349835,0.254314434876342
"m01830","region019",0.03097079670351,0.0314560626449823,0.261331117639962
"m01831","region019",0.0131093299596312,0.0328338857617112,0.24681051021057
"m01842","region019",0.0112146453471694,0.0136880858142342,0.62692474863492
"m01859","region019",-0.0204017477037266,-0.0129061626922491,0.643462017847705
"m01881","region019",0.00992484448876693,0.0034099197928366,0.902477414826471
"m01899","region019",0.031960787167116,0.0225803168325289,0.416509384141894
"m01939","region020",0.02580108481027,-0.00339704348961326,0.905437275836407
"m01949","region020",0.0415586628756558,0.0779928548619733,0.00559072998569012
"m01960","region020",-0.0271135245788854,-0.0349141555076665,0.21603513156664
"m01972","region020",0.00212640082033598,-0.074904951579552,0.00747586752986851
"m02000","region020",-0.0141147699912315,-0.010166312074262,0.715855373325624
"m02009","region021",0.0068732053789661,-0.0274326451253997,0.3293445871344
"m02014","region021",0.00519915016512883,0.0173082577805608,0.529392582511738
"m02032","region021",0.00663297986274516,0.0152134838429081,0.586980851745356
"m02034","region021",-0.0104403838446418,-0.00785119371194113,0.779296303136289
"m02039","region021",-0.0731140211030293,-0.0698189464198842,0.0115014897426449
"m02079","region021",-0.0269822881767074,-0.0320281831613074,0.257084770655201
"m02087","region021",0.0395196042613367,0.0377984342092694,0.17063844524695
"m02093","region021",-0.00205270508768024,0.00957890632229312,0.731791326717016
"m02109","region022",-0.0172557459793615,-0.0181036104234114,0.516025720522806
"m02110","region022",0.0257509458805561,0.00494214983901365,0.86031223121741
"m02112","region022",0.00107272495136839,0.00235446153900657,0.933360213274422
"m02113","region022",-0.00894100594624262,0.0348400181759899,0.215497719220514
"m02120","region022",-0.0135759390152371,-0.0326665886204308,0.235677130871503
"m02129","region022",-0.0157894504646482,-0.049791778387366,0.0785130812069363
"m02137","region022",-0.0104281846796068,-0.0170664688491985,0.54458014826832
"m02141","region022",-0.0370729739620716,-0.0687717003875202,0.0125977157821582
"m02147","region022",-0.0170634147722368,-0.0613059866331431,0.0266829488778477
"m02166","region022",0.0262011828106813,0.00305090383358222,0.913358286743931
"m02179","region022",-0.0269918052038164,-0.0112869545218356,0.679618885824265
"m02210","region023",-0.0114312143962433,0.0443727372013722,0.107362839447557
"m02211","region023",-0.0396040216723687,-0.0162833234125012,0.561600667453769
"m02233","region023",0.0177704004781313,0.0279862995331802,0.32025645895704
"m02257","region023",-0.00164876726535195,-0.00083223417805554,0.976885075584275
"m02292","region023",0.0133846807079511,0.0154287933176833,0.583990685897542
"m02296","region023",-0.00898940550225004,9.49332437975239e-05,0.997287675893904
"m02301","region024",-0.00782802565067819,-0.0190379238048745,0.486692934053469
"m02304","region024",0.00379006560015799,-0.0561069207052945,0.047430981278971
"m02324","region024",-0.00282956778786442,-0.00832031170077916,0.769464275616986
"m02325","region024",0.0097974022399348,0.00584411228507445,0.835034439192577
"m02330","region024",-0.00858737282438892,-0.00400449546725183,0.886099414832086
"m02356","region024",-0.0044950683107801,-0.00777964129642462,0.781227840327417
"m02367","region024",0.00132957479788222,0.00414776263714187,0.878040692486264
"m02371","region024",0.00570528442995786,0.0272017598421461,0.331102107629754
"m02373","region024",0.0120191335639841,-0.0305878490512921,0.275139324959963
"m02374","region024",0.000174808375771057,-0.0296801987552959,0.283680554077722
"m02402","region025",-0.00676080662722221,-0.0322365022862263,0.246614551500805
"m02456","region025",-0.00845040999576728,-0.0125039797754053,0.660169162766649
"m02458","region025",-0.0109437238882302,-0.0195238751494185,0.48864810194314
"m02475","region025",-0.024495259054376,-0.00779238033841679,0.779989946501295
"m02501","region026",-0.0408099431869987,-0.0581143265054134,0.037093554650065
"m02535","region026",0.00836637650184664,0.00180666056415865,0.948275006468274
"m02572","region026",0.0530182743202566,0.0747252264969256,0.00818848546686265
"m02585","region026",0.0241234560203347,0.04114601741207,0.143777070157807
"m02606","region027",0.0148174677006658,0.0129454586664518,0.639889955089454
"m02607","region027",-0.0127196452877633,0.0191901858570809,0.490407886457073
"m02611","region027",0.0379028832775568,0.0446112542038491,0.11055288310305
"m02613","region027",0.0141816125742707,-0.0201409001804369,0.475769623026107
"m02619","region027",-0.00689836514079761,0.0494364021459555,0.0798634076527091
"m02620","region027",0.0219538437156449,0.0477609223955849,0.0927125189858942
"m02622","region027",0.0167010202792143,0.0130300151569192,0.640643773953607
"m02657","region027",0.0197404920072665,0.0617884502296236,0.0280827303390006
"m02678","region027",0.0114280743110709,0.0441255342651594,0.112466037759137
"m02683","region027",-0.0203095713271387,-0.00101066698556415,0.971275543585433
"m02689","region027",-0.0493406809373002,-0.0183806060160643,0.514609055242059
"m02695","region027",-0.0290231141032017,-0.0304842887350055,0.272762817699496
"m02696","region027",-0.0322694578106715,-0.0231680013773346,0.40435008073577
"m02707","region028",0.0076361913238772,-0.0353848771387318,0.206055860294866
"m02710","region028",-0.0374993999058384,-0.0373002103862256,0.181159382988428
"m02738","region028",0.0398147116086771,0.0878407974113498,0.00181161987987139
"m02777","region028",0.00618189961502015,-0.0108272724288056,0.693271588693604
"m02778","region028",-0.0102374717756117,-0.0537697830528927,0.0574944902426767
"m02789","region028",-0.0201851072029812,-0.0102498365717518,0.718965917703404
"m02838","region029",0.0315365172266837,0.0335075163062235,0.239927336039218
"m02861","region029",0.0359206935249594,0.0436525509945581,0.12508646581148
"m02879","region029",-0.0343680774596348,-0.00847707474677058,0.76363691776767
"m02913","region030",0.0162642586888188,0.0378812568967678,0.180062735636335
"m02973","region030",0.0369423000595403,0.0274507259087766,0.323440975939122
"m02981","region030",0.0202311041593924,0.0588865561707899,0.0359141575876051
"m02996","region030",0.0596978954603302,0.0654471515859305,0.0198632693236596
"m02998","region030",0.0128622780703491,0.0303096117370524,0.280079688842953
"m03009","region031",0.0148488452712459,-0.0241047099423217,0.395028438027749
"m03040","region031",-0.0365111161867103,-0.0359872414581627,0.197100629915075
"m03065","region031",0.0218858714193335,0.0100632430268892,0.722228172370525
"m03067","region031",0.00335618560894685,0.0233610445232816,0.404032767769855
"m03069","region031",-0.0364698201196138,-0.025295499901416,0.365826462064087
"m03081","region031",0.0262993016287447,0.0319223321851408,0.248915664041871
"m03088","region031",0.00879786846484247,0.0123240746231348,0.662505962596444
"m03130","region032",-0.0119326284933316,0.00911482157714098,0.746481076671692
"m03141","region032",0.0318805848229654,0.0722566708501098,0.00945120114775395
"m03148","region032",0.00728659053310376,0.0196424013527823,0.48061446491894
"m03161","region032",-0.0201530691588452,-0.0293080027615533,0.299667268586396
"m03163","region032",-0.0135632644335883,-0.0200457728541372,0.482943963404719
"m03177","region032",-0.0388365162448992,0.021661545641313,0.4335320943673
"m03195","region032",0.0128957396121397,0.0616242360979085,0.0309646998302493
"m03198","region032",-0.0202546469361198,-0.00660566171415395,0.811090825185579
"m03202","region033",0.0184248652103101,0.0555263642154467,0.0484581654153098
"m03211","region033",0.00758055688197183,0.00897998487840384,0.747149585631133
"m03214","region033",0.0100468255146204,-0.0539215315330753,0.053871325059397
"m03219","region033",0.0115098464406767,-0.0399020690560297,0.147983066790707
"m03233","region033",-0.0305499080652894,-0.0539983650771593,0.053084236150169
"m03234","region033",-0.0249564217817627,-0.0331186437847456,0.235629808754973
"m03256","region033",0.0397072576532055,0.00512466240410901,0.855213515602344
"m03281","region033",-0.0440968956373531,-0.0789725186822858,0.00481808694629708
"m03284","region033",0.0109011419503619,0.0129995509952283,0.636067022053567
"m03294","region033",-0.0036212345708884,0.0220816136115735,0.434895298349972
"m03298","region033",0.0114974765339104,-0.00291417425243054,0.919095370684063
"m03304","region034",0.0017316696650021,0.0175827224065722,0.535580942104366
"m03328","region034",0.0192410315341367,-0.0110994998286728,0.692108967494164
"m03336","region034",0.0136824498264691,0.0368799146661961,0.195719717746208
"m03343","region034",-0.005927354424633,0.00244135238912601,0.929955638240977
"m03378","region034",-0.0308440877745069,-0.0524450246453589,0.0636041851251442
"m03389","region034",0.0202205027934581,-0.0119149128099008,0.667812901285843
"m03402","region035",-0.00511883397321662,0.0249394552750545,0.374171851249713
"m03407","region035",0.0333325913500893,0.104357525003305,0.000202323392578793
"m03425","region035",0.0195044376137195,0.0650542740586223,0.0190872216870196
"m03438","region035",0.000939126127044339,-0.0167224625141602,0.548787975238194
"m03454","region035",0.0523624716898301,0.0349373707998032,0.212208916915929
"m03455","region035",0.0241882358358623,0.00858122231599592,0.751513188800836
"m03474","region035",0.0361133257277917,0.0581218075527567,0.0353466035932801
"m03481","region035",-0.0271505125460493,-0.00221884551786438,0.936738991151726
"m03487","region035",-0.011801803879301,-0.0212046629905937,0.449013848519064
"m03500","region035",0.00325692602249852,0.00124310273689074,0.964040887032476
"m03502","region036",0.0134175395439784,-0.0290318464168556,0.303208400130253
"m03512","region036",-0.0552519865252627,-0.092487740586316,0.00107538929327562
"m03516","region036",0.0187453415538498,0.0244267285602245,0.383316559777339
"m03524","region036",-0.0339684708633397,-0.0097968096264453,0.727588974743428
"m03527","region036",-0.00232118430011131,-0.0126925161860787,0.653931384699684
"m03530","region036",0.0163126168033548,-0.00190810956454238,0.945004163912982
"m03542","region036",-0.0126607647112261,-0.0022955328268023,0.935175240211035
"m03547","region036",0.0215240359829784,0.0340178902621777,0.221420338308241
"m03566","region036",0.0119051822546706,-0.00746738124146688,0.788893754875104
"m03584","region036",0.000810226890023733,-0.0111800981940032,0.687427339146276
"m03599","region036",-0.00803146043023425,-0.0085050161909153,0.762316982305468
"m03608","region037",-0.00186908238852168,0.0195258722872769,0.488707962116598
"m03651","region037",5.37913823719626e-05,0.0543094243101963,0.0536648711802717
"m03656","region037",0.00460278266082981,-0.062985448200438,0.0231473592557015
"m03691","region037",-0.00261166200438087,-0.0248849298074447,0.372161499882114
"m03698","region037",-0.0295899501010528,0.00866925889201759,0.761277044464676
"m03713","region038",0.0227929701626946,0.0363739970110996,0.197641022094055
"m03714","region038",0.000978910925515583,0.0377083333486006,0.178456592599858
"m03717","region038",0.0123542851823087,0.0472009171957458,0.0864347475331096
"m03763","region038",-0.0337544478340632,-0.0186463528921603,0.512176964097453
"m03773","region038",-0.0174779567866756,-0.0329115337013687,0.240428510117802
"m03782","region038",0.0082930715314029,0.0554584756070437,0.0516234702899466
"m03784","region038",-0.0042324547706834,0.00555828405021538,0.843563455418971
"m03809","region039",-0.0444586167583455,-0.0706120871442308,0.0114328264795268
"m03810","region039",-0.0541334719364848,-0.0250759674363482,0.371385234745809
"m03825","region039",0.0732824588651078,0.137734551418062,1.38389716032776e-06
"m03826","region039",0.030717621868562,-0.0379124889637251,0.177840646272936
"m03833","region039",-0.0291210537462084,-0.0445997036610488,0.11339032727918
"m03841","region039",-0.0189805821503724,-0.0835255094882082,0.0028684175052048
"m03842","region039",-0.0201798528682608,-0.0547355018609466,0.0483498560825566
"m03847","region039",0.00497768455197223,0.0581817288208986,0.0352848034999891
"m03882","region039",0.0141263735307366,-0.00306091494902084,0.913858243168692
"m03903","region040",0.00260334990763278,0.0526512800990373,0.0600755661114282
"m03920","region040",-0.0427522481756204,-0.0321194270955224,0.252247078454501
"m03923","region040",0.000288578878917629,-0.0154886918137393,0.583103611301731
"m03931","region040",-0.008184184100873,0.0165390179070517,0.554924648882565
"m03934","region040",0.00546140102438221,0.0186885061133665,0.495920129889268
"m03946","region040",0.0414385461160672,0.0156036562429722,0.575967224406988
"m03955","region040",0.0128777839282503,-0.0228627000542777,0.421247996033195
"m03958","region040",0.0145093317312286,0.0222981614154285,0.423985176818379
"m03966","region040",-0.019575866731881,-0.0140642265074847,0.620251635630543
"m03977","region040",0.0132479364904971,-0.00882237467795108,0.75122470781981
"m03984","region040",0.00516529065313653,-0.0354176748622946,0.201042298518158
"m03988","region040",-0.0225881674240437,-0.0515405502384597,0.0664579575911328
"m03991","region040",0.0249104129725694,0.0436552755189957,0.11822600327559
"m03993","region040",0.021694842160792,0.00705980138916108,0.80061765300456
"m03998","region040",0.0195418344002736,0.0165071477105711,0.547283829664627
"m04000","region040",0.0517719801748688,0.0803078172150317,0.00412317612365155
"m04031","region041",-0.0115599226027977,-0.104978223132193,0.000167859361364889
"m04034","region041",-0.046012857352516,-0.0359052443336335,0.204592118380795
"m04113","region042",0.0137329560881884,-0.00954012235694978,0.732141228899082
"m04117","region042",-0.0286278813235486,-0.00561386139418169,0.840609885241201
"m04125","region042",0.0197193495551671,0.0190429489562722,0.491303041838551
"m04136","region042",0.0124709844894127,0.0092699169079989,0.743659211015377
"m04145","region042",0.0204059844158025,0.0137258355910546,0.621488186328607
"m04157","region042",0.00401902099480047,-0.0245416896185215,0.38079695182998
"m04167","region042",0.0155852506835685,0.050335400209201,0.0705348867893146
"m04178","region042",0.0380079374814736,-0.0166433981812481,0.549352030330892
"m04179","region042",0.0339184509650795,0.0448045547694134,0.111405971926358
"m04183","region042",-0.0192989126282747,-0.0339514563211682,0.224475672109729
"m04201","region043",-0.0380007494725833,-0.0186595616861495,0.505978524073892
"m04204","region043",-0.0513424185028242,-0.0700416695787856,0.0118180590472596
"m04217","region043",-0.000408866749650305,0.0293427207472273,0.293779439334077
"m04247","region043",0.0106571160295301,-0.0280252675206189,0.316886202176067
"m04251","region043",0.0176197273512303,0.0348976574587623,0.212941661699856
"m04269","region043",-0.0465202682014494,-0.051605024582233,0.0677764082462268
"m04281","region043",-0.0110980517744457,-0.0132544119970749,0.633808393852038
"m04287","region043",-0.0253414440174132,0.00207997479203277,0.940541022724748
"m04299","region043",0.00855054044617775,-0.0118387469831731,0.675088578155475
"m04310","region044",0.0630440111209592,0.042180767035466,0.132707352006066
"m04316","region044",-0.00478713738446655,0.00578997448600418,0.835895666079516
"m04319","region044",0.010498296130648,0.0224507157866146,0.42537321315459
"m04329","region044",-0.0127024297878044,-0.0388328201839226,0.165347015084647
"m04388","region044",0.0312520935434465,0.0626574261005545,0.0256715684456743
"m04401","region045",-0.00371437232043982,0.00248170071024705,0.927865217738927
"m04418","region045",-0.0367707489359918,-0.0759957293216935,0.00600695977230515
"m04449","region045",0.0089271374388932,-0.054851290411501,0.0513438830979551
"m04476","region045",-0.0460591798224389,-0.0490538529974721,0.0759883595935813
"m04504","region046",0.031856451629755,0.0403882918029778,0.140097014264516
"m04510","region046",0.0266580088040885,0.0555045673388574,0.0449160883225565
"m04511","region046",0.0262750437001005,0.0613503424571111,0.0313777085942263
"m04512","region046",-0.0111748470790335,-0.00372640280200608,0.894553515999603
"m04526","region046",-0.0177861520111501,-0.0166829553248102,0.548020833245205
"m04547","region046",-0.0141164036867049,-0.0218171106218115,0.434453158267086
"m04555","region046",0.0213148051294707,0.00172328079508601,0.950391140487015
"m04557","region046",0.0115225430394089,-0.0300165721146413,0.278049923780589
"m04584","region046",-0.0195048192077346,-0.0605583442328407,0.0286544981755721
"m04585","region046",0.00192984655431198,0.00185268262586503,0.94805844758983
"m04590","region046",-0.0389769470324494,-0.0172793029677534,0.539538251950333
"m04593","region046",-0.000329477367513961,-0.0519169434089197,0.0641106403252136
"m04621","region047",0.0102325324697106,0.0340062472766511,0.217636002504548
"m04637","region047",0.0344749392411353,0.0915820620421625,0.00133798623598254
"m04640","region047",-0.046842239762413,-0.0244468315002188,0.379591291829323
"m04655","region047",-0.0610826954037901,-0.0408833165858395,0.143446973587576
"m04706","region048",0.00771297073702753,0.0111062640746572,0.699113368197304
"m04734","region048",-0.0032023608585969,-0.0233156783599094,0.408031716443641
"m04741","region048",-0.00022504704873874,-0.0168534047608894,0.542385250189506
"m04742","region048",0.00188635759006268,-0.0365244232516071,0.186512736565597
"m04751","region048",-0.00137186131107904,-0.0272880851834006,0.337281540949332
"m04757","region048",0.0330558680531411,0.0629541962961868,0.0256782928025208
"m04802","region049",0.00957662605182551,0.0726742408662934,0.0103469081355931
"m04804","region049",0.0644353506850583,0.083563456876802,0.00304061451441742
"m04843","region049",-0.0325264360203261,-0.0617376803066989,0.0282750789577305
"m04854","region049",-0.0263324450417929,0.0365505381115691,0.195714107240922
"m04870","region049",-0.00467651897412115,0.0229438371840503,0.420723880889027
"m04886","region049",-0.00913603763491424,0.0492388786835406,0.0839754504005271
"m04895","region049",-0.0284495357194722,-0.0380347835996935,0.174010130274552
"m04912","region050",-0.0362462827266287,-0.01195364457206,0.673252232062328
"m04919","region050",0.012047746534904,0.0379481669195271,0.170387300999618
"m04948","region050",-0.00981590444179297,-0.00826992380870395,0.765189365731795
"m04949","region050",-0.00911762564475211,0.0199992329561441,0.469150462462653
"m04950","region050",0.008527018983473,0.000568779892393921,0.983667953459165
"m04959","region050",0.0249878923463319,0.0286423069775864,0.309176626051309
"m05005","region051",-0.0226563072254858,0.0189731727547459,0.500619928510065
"m05037","region051",-0.0450493388632666,-0.0553286629619049,0.0509686119504237
"m05042","region051",-0.0363980826867266,-0.0806506701047071,0.00373497625097981
"m05052","region051",-0.0301075695309936,0.0150270488855072,0.591572178164646
"m05054","region051",-0.0176093317206716,-0.0172069311973496,0.535864369729712
"m05064","region051",0.0140970424974414,0.0235473075292351,0.392955023334274
"m05106","region052",-0.0065203077199282,0.00205643945519517,0.940981047509088
"m05125","region052",0.00513573850856181,-0.00779984761679723,0.784060830972297
"m05142","region052",0.00438729577346754,0.0165773882231019,0.549124754144759
"m05155","region052",-0.0301641177465252,-0.0172624525199314,0.537713767926485
"m05179","region052",0.0552208024361034,0.0257830753558153,0.353193263380141
"m05184","region052",0.0346074978389074,0.0509553201861772,0.0762296548313354
"m05188","region052",-0.0132938953157866,0.0376299429713539,0.177880456154605
"m05206","region053",-0.0068885131122982,0.0340355475635324,0.223845078436316
"m05207","region053",-0.00645913591882463,-0.01566695681295,0.580274175270945
"m05209","region053",-0.00436099761216799,-0.00209390748093516,0.940350122508151
"m05214","region053",-0.00743331884669418,-0.00586564523249293,0.830502729922423
"m05230","region053",-0.0352956833678506,-0.0501183411558296,0.073267966111204
"m05252","region053",0.0301740093822929,0.027256958009149,0.331833921997923
"m05262","region053",0.0467756491737816,0.0318738882835788,0.253452483221423
"m05263","region053",-0.0115744102072414,-0.0244433332050087,0.386544364029065
"m05303","region054",-0.0243896938037146,-0.0354111477678202,0.206802358715189
"m05310","region054",-0.00906524957472019,-0.0479569311921621,0.0847361366316271
"m05319","region054",0.031684812699146,0.0411077627472081,0.134887897537345
"m05343","region054",-6.05652102304715e-05,-0.00218685386968109,0.937534153597424
