"replicate","seed","method","trait","pathway","p_value","pip"
4,20262400,"competitive","B","background",0.760757365159951,NA
4,20262400,"competitive","B","mixed",0.143479883074244,NA
4,20262400,"competitive","C","enriched",4.58018026474419e-06,NA
4,20262400,"competitive","C","background",0.92145747376462,NA
4,20262400,"competitive","C","mixed",0.372170805073616,NA
4,20262400,"magma","A","enriched",0.00734332682806232,NA
4,20262400,"magma","A","background",0.677837586216177,NA
4,20262400,"magma","A","mixed",0.82701657813712,NA
4,20262400,"magma","B","enriched",0.00038008878325927,NA
4,20262400,"magma","B","background",0.887157042197851,NA
4,20262400,"magma","B","mixed",0.0610996889795329,NA
4,20262400,"magma","C","enriched",0.000148862687208712,NA
4,20262400,"magma","C","background",0.984707950769911,NA
4,20262400,"magma","C","mixed",0.249432552735348,NA
4,20262400,"bayesc","A","enriched",NA,0.9935
4,20262400,"bayesc","A","background",NA,0.0265
4,20262400,"bayesc","A","mixed",NA,0.0525
5,20262500,"ora","A","enriched",0.0128031617233527,NA
5,20262500,"ora","A","background",0.684429334434911,NA
5,20262500,"ora","A","mixed",0.727179315564628,NA
5,20262500,"ora","B","enriched",0.0892482972356883,NA
5,20262500,"ora","B","background",0.632105819013169,NA
5,20262500,"ora","B","mixed",0.577639054416912,NA
5,20262500,"ora","C","enriched",0.0892482972356883,NA
5,20262500,"ora","C","background",0.988543089224483,NA
5,20262500,"ora","C","mixed",0.0498433166605859,NA
5,20262500,"preranked","A","enriched",0.00337078651685393,NA
5,20262500,"preranked","A","background",0.337209302325581,NA
5,20262500,"preranked","A","mixed",0.961248654467169,NA
5,20262500,"preranked","B","enriched",0.00104602510460251,NA
5,20262500,"preranked","B","background",0.771369721936148,NA
5,20262500,"preranked","B","mixed",0.258726899383984,NA
5,20262500,"preranked","C","enriched",0.00105263157894737,NA
5,20262500,"preranked","C","background",0.935483870967742,NA
5,20262500,"preranked","C","mixed",0.521155830753354,NA
5,20262500,"competitive","A","enriched",0.00753261868572583,NA
5,20262500,"competitive","A","background",0.830807660719293,NA
5,20262500,"competitive","A","mixed",0.818236953478871,NA
5,20262500,"competitive","B","enriched",0.000531043646635208,NA
5,20262500,"competitive","B","background",0.673436139028575,NA
5,20262500,"competitive","B","mixed",0.208326582439629,NA
5,20262500,"competitive","C","enriched",1.54528117749774e-06,NA
5,20262500,"competitive","C","background",0.709038796414329,NA
5,20262500,"competitive","C","mixed",0.563615576408768,NA
5,20262500,"magma","A","enriched",0.00868830171748959,NA
5,20262500,"magma","A","background",0.869756271411562,NA
5,20262500,"magma","A","mixed",0.824081059540295,NA
5,20262500,"magma","B","enriched",0.0481302191023555,NA
5,20262500,"magma","B","background",0.863903840018658,NA
5,20262500,"magma","B","mixed",0.0934168203045016,NA
5,20262500,"magma","C","enriched",6.66325412037896e-05,NA
5,20262500,"magma","C","background",0.914063388775619,NA
5,20262500,"magma","C","mixed",0.547508469189745,NA
5,20262500,"bayesc","A","enriched",NA,0.517
5,20262500,"bayesc","A","background",NA,0.0585
5,20262500,"bayesc","A","mixed",NA,0.047
6,20262600,"ora","A","enriched",0.0422456992654509,NA
6,20262600,"ora","A","background",0.472168733312083,NA
6,20262600,"ora","A","mixed",0.871167481442602,NA
6,20262600,"ora","B","enriched",0.248609288158306,NA
6,20262600,"ora","B","background",0.984047886706524,NA
6,20262600,"ora","B","mixed",0.477291906755194,NA
6,20262600,"ora","C","enriched",0.00446985754303795,NA
6,20262600,"ora","C","background",0.650696739401548,NA
6,20262600,"ora","C","mixed",0.153870775196946,NA
6,20262600,"preranked","A","enriched",0.00312174817898023,NA
6,20262600,"preranked","A","background",0.637204522096608,NA
6,20262600,"preranked","A","mixed",0.847648261758691,NA
6,20262600,"preranked","B","enriched",0.00105932203389831,NA
6,20262600,"preranked","B","background",0.176470588235294,NA
6,20262600,"preranked","B","mixed",0.637966804979253,NA
6,20262600,"preranked","C","enriched",0.00104712041884817,NA
6,20262600,"preranked","C","background",0.768205128205128,NA
6,20262600,"preranked","C","mixed",0.521025641025641,NA
6,20262600,"competitive","A","enriched",0.00346102645170967,NA
6,20262600,"competitive","A","background",0.45475192369955,NA
6,20262600,"competitive","A","mixed",0.863829751647307,NA
6,20262600,"competitive","B","enriched",0.000103338840886525,NA
6,20262600,"competitive","B","background",0.946925071554986,NA
6,20262600,"competitive","B","mixed",0.637041224804192,NA
6,20262600,"competitive","C","enriched",1.73113505817196e-06,NA
6,20262600,"competitive","C","background",0.519042662250076,NA
6,20262600,"competitive","C","mixed",0.633431471265417,NA
6,20262600,"magma","A","enriched",0.0219862114727218,NA
6,20262600,"magma","A","background",0.545642803757551,NA
6,20262600,"magma","A","mixed",0.851373963456614,NA
6,20262600,"magma","B","enriched",0.00536216226498421,NA
6,20262600,"magma","B","background",0.994498594194436,NA
6,20262600,"magma","B","mixed",0.595218412501538,NA
6,20262600,"magma","C","enriched",0.000269173895286525,NA
6,20262600,"magma","C","background",0.826901886736852,NA
6,20262600,"magma","C","mixed",0.569718449479976,NA
6,20262600,"bayesc","A","enriched",NA,0.561
6,20262600,"bayesc","A","background",NA,0.0375
6,20262600,"bayesc","A","mixed",NA,0.054
7,20262700,"ora","A","enriched",0.116029144712507,NA
7,20262700,"ora","A","background",0.866473641249447,NA
7,20262700,"ora","A","mixed",0.525773850811887,NA
7,20262700,"ora","B","enriched",0.0614378104684202,NA
7,20262700,"ora","B","background",0.281630469896507,NA
7,20262700,"ora","B","mixed",0.112356369301715,NA
7,20262700,"ora","C","enriched",0.192379226450957,NA
7,20262700,"ora","C","background",0.192379226450957,NA
7,20262700,"ora","C","mixed",0.059491257664975,NA
7,20262700,"preranked","A","enriched",0.0131578947368421,NA
7,20262700,"preranked","A","background",0.163934426229508,NA
7,20262700,"preranked","A","mixed",0.573404255319149,NA
7,20262700,"preranked","B","enriched",0.00431499460625674,NA
7,20262700,"preranked","B","background",0.708595387840671,NA
7,20262700,"preranked","B","mixed",0.19916142557652,NA
7,20262700,"preranked","C","enriched",0.00108813928182807,NA
7,20262700,"preranked","C","background",0.659259259259259,NA
7,20262700,"preranked","C","mixed",0.169133192389006,NA
7,20262700,"competitive","A","enriched",0.00457936836539641,NA
7,20262700,"competitive","A","background",0.959198154665129,NA
7,20262700,"competitive","A","mixed",0.561879222297409,NA
7,20262700,"competitive","B","enriched",0.000654071441386903,NA
7,20262700,"competitive","B","background",0.37564059925865,NA
7,20262700,"competitive","B","mixed",0.166430614881009,NA
7,20262700,"competitive","C","enriched",2.35450148441428e-05,NA
7,20262700,"competitive","C","background",0.491776466905743,NA
7,20262700,"competitive","C","mixed",0.184596386646478,NA
7,20262700,"magma","A","enriched",0.00802826643757704,NA
7,20262700,"magma","A","background",0.983681531256023,NA
7,20262700,"magma","A","mixed",0.496984284430581,NA
7,20262700,"magma","B","enriched",0.0613765747138473,NA
7,20262700,"magma","B","background",0.560625444369488,NA
7,20262700,"magma","B","mixed",0.0599072418111071,NA
7,20262700,"magma","C","enriched",0.0207280164977129,NA
7,20262700,"magma","C","background",0.810338250889915,NA
7,20262700,"magma","C","mixed",0.130380969157769,NA
7,20262700,"bayesc","A","enriched",NA,0.677
7,20262700,"bayesc","A","background",NA,0.1895
7,20262700,"bayesc","A","mixed",NA,0.0285
8,20262800,"ora","A","enriched",0.000986954351765719,NA
8,20262800,"ora","A","background",0.567958093020781,NA
8,20262800,"ora","A","mixed",0.747716031122791,NA
8,20262800,"ora","B","enriched",0.00903151857379016,NA
8,20262800,"ora","B","background",0.772438035405939,NA
8,20262800,"ora","B","mixed",0.996821672677327,NA
8,20262800,"ora","C","enriched",0.226385225968642,NA
8,20262800,"ora","C","background",0.226385225968642,NA
8,20262800,"ora","C","mixed",0.6767158656872,NA
8,20262800,"preranked","A","enriched",0.00112359550561798,NA
8,20262800,"preranked","A","background",0.298264642082429,NA
8,20262800,"preranked","A","mixed",0.176533907427341,NA
8,20262800,"preranked","B","enriched",0.00113378684807256,NA
8,20262800,"preranked","B","background",0.958762886597938,NA
8,20262800,"preranked","B","mixed",0.954347826086957,NA
8,20262800,"preranked","C","enriched",0.0211581291759465,NA
8,20262800,"preranked","C","background",0.240820734341253,NA
8,20262800,"preranked","C","mixed",0.53755364806867,NA
8,20262800,"competitive","A","enriched",7.81644069165801e-07,NA
8,20262800,"competitive","A","background",0.0633242703583685,NA
8,20262800,"competitive","A","mixed",0.136464822927022,NA
8,20262800,"competitive","B","enriched",1.67864047056108e-05,NA
8,20262800,"competitive","B","background",0.79049294412744,NA
8,20262800,"competitive","B","mixed",0.78503382644946,NA
8,20262800,"competitive","C","enriched",0.000485095116203694,NA
8,20262800,"competitive","C","background",0.0585304144800956,NA
8,20262800,"competitive","C","mixed",0.458761874884502,NA
8,20262800,"magma","A","enriched",0.0154080046634727,NA
8,20262800,"magma","A","background",0.289373095786417,NA
8,20262800,"magma","A","mixed",0.0372505157199461,NA
8,20262800,"magma","B","enriched",0.00500931868297645,NA
8,20262800,"magma","B","background",0.901827649416808,NA
8,20262800,"magma","B","mixed",0.589573570588052,NA
8,20262800,"magma","C","enriched",0.0373249474434652,NA
8,20262800,"magma","C","background",0.109913780628288,NA
8,20262800,"magma","C","mixed",0.365136217691588,NA
8,20262800,"bayesc","A","enriched",NA,0.999
8,20262800,"bayesc","A","background",NA,0.093
8,20262800,"bayesc","A","mixed",NA,0.0585
9,20262900,"ora","A","enriched",0.0825525726897798,NA
9,20262900,"ora","A","background",0.772438035405939,NA
9,20262900,"ora","A","mixed",0.422732285384266,NA
9,20262900,"ora","B","enriched",0.0276983982084038,NA
9,20262900,"ora","B","background",0.988684321902067,NA
9,20262900,"ora","B","mixed",0.838722394673971,NA
9,20262900,"ora","C","enriched",0.0689913729326606,NA
9,20262900,"ora","C","background",0.425035533417633,NA
9,20262900,"ora","C","mixed",0.403682162933246,NA
9,20262900,"preranked","A","enriched",0.00110741971207087,NA
9,20262900,"preranked","A","background",0.025974025974026,NA
9,20262900,"preranked","A","mixed",0.641791044776119,NA
9,20262900,"preranked","B","enriched",0.00108108108108108,NA
9,20262900,"preranked","B","background",0.980972515856237,NA
9,20262900,"preranked","B","mixed",0.834388185654008,NA
9,20262900,"preranked","C","enriched",0.00335946248600224,NA
9,20262900,"preranked","C","background",0.801081081081081,NA
9,20262900,"preranked","C","mixed",0.933261571582347,NA
9,20262900,"competitive","A","enriched",1.84270211062313e-06,NA
9,20262900,"competitive","A","background",0.957584201713027,NA
9,20262900,"competitive","A","mixed",0.957092501695353,NA
9,20262900,"competitive","B","enriched",2.9017312044522e-06,NA
9,20262900,"competitive","B","background",0.634631953636254,NA
9,20262900,"competitive","B","mixed",0.82832491641376,NA
9,20262900,"competitive","C","enriched",0.000149900054610792,NA
9,20262900,"competitive","C","background",0.59143917009468,NA
9,20262900,"competitive","C","mixed",0.860425586932741,NA
9,20262900,"magma","A","enriched",6.1203143016944e-05,NA
9,20262900,"magma","A","background",0.995371652146255,NA
9,20262900,"magma","A","mixed",0.972043066379547,NA
9,20262900,"magma","B","enriched",0.0092566420103169,NA
9,20262900,"magma","B","background",0.914990143669037,NA
9,20262900,"magma","B","mixed",0.825114513943911,NA
9,20262900,"magma","C","enriched",0.0194664952876303,NA
9,20262900,"magma","C","background",0.717599654901306,NA
9,20262900,"magma","C","mixed",0.784169626718592,NA
9,20262900,"bayesc","A","enriched",NA,1
9,20262900,"bayesc","A","background",NA,0.1145
9,20262900,"bayesc","A","mixed",NA,0.118
10,20263000,"ora","A","enriched",0.0128031617233527,NA
10,20263000,"ora","A","background",0.684429334434911,NA
10,20263000,"ora","A","mixed",0.475386829385175,NA
10,20263000,"ora","B","enriched",0.00273580658018361,NA
10,20263000,"ora","B","background",0.223185332914234,NA
10,20263000,"ora","B","mixed",0.796223956516264,NA
10,20263000,"ora","C","enriched",0.0689913729326606,NA
10,20263000,"ora","C","background",0.977369488235484,NA
10,20263000,"ora","C","mixed",0.197573640746526,NA
10,20263000,"preranked","A","enriched",0.00108695652173913,NA
10,20263000,"preranked","A","background",0.857142857142857,NA
10,20263000,"preranked","A","mixed",0.519027484143763,NA
10,20263000,"preranked","B","enriched",0.0010515247108307,NA
10,20263000,"preranked","B","background",0.339855818743563,NA
10,20263000,"preranked","B","mixed",0.831275720164609,NA
10,20263000,"preranked","C","enriched",0.00316789862724393,NA
10,20263000,"preranked","C","background",0.779045643153527,NA
10,20263000,"preranked","C","mixed",0.494300518134715,NA
10,20263000,"competitive","A","enriched",3.94282277867509e-06,NA
10,20263000,"competitive","A","background",0.620126119610267,NA
10,20263000,"competitive","A","mixed",0.538134900846227,NA
10,20263000,"competitive","B","enriched",1.9692242140125e-07,NA
10,20263000,"competitive","B","background",0.0336347790604876,NA
10,20263000,"competitive","B","mixed",0.782922200052031,NA
10,20263000,"competitive","C","enriched",0.000294558574501294,NA
10,20263000,"competitive","C","background",0.328048173163942,NA
10,20263000,"competitive","C","mixed",0.80681171444048,NA
10,20263000,"magma","A","enriched",0.00137082460002415,NA
10,20263000,"magma","A","background",0.903542740214633,NA
10,20263000,"magma","A","mixed",0.646063192290723,NA
10,20263000,"magma","B","enriched",0.00226114027380333,NA
10,20263000,"magma","B","background",0.0621430811416877,NA
10,20263000,"magma","B","mixed",0.652038237627269,NA
10,20263000,"magma","C","enriched",0.0305168885289339,NA
10,20263000,"magma","C","background",0.38933638046668,NA
10,20263000,"magma","C","mixed",0.859284806857531,NA
10,20263000,"bayesc","A","enriched",NA,0.9985
10,20263000,"bayesc","A","background",NA,0.0305
10,20263000,"bayesc","A","mixed",NA,0.029
